train,test,column1,column2,skip1,skip2,model1,model2,acc1,acc2,mean_acc,compl_acc,conf,cer1,cer2,c_cer1,c_cer2,i_cer1,i_cer2,both_correct,1correct,2correct,none
electronics,home,combined,raw,,,cnn_gru,cnn_gru,0.9235,0.9218,0.92725,0.9265,0.15,0.418,0.422,0.433,0.437,0.242,0.241,0.90075,0.02275,0.021,0.0555
electronics,toys,combined,raw,,,cnn_gru,cnn_gru,0.92825,0.928,0.93325,0.92975,0.15,0.419,0.428,0.435,0.443,0.209,0.237,0.90675,0.0215,0.02125,0.505
electronics,lego,combined,raw,,,cnn_gru,cnn_gru,0.9114,0.927,0.922,0.919,0.15,0.417,0.428,0.435,0.441,0.2237,0.2616,0.8944,0.017,0.0327,0.0558
electronics,elec,combined,raw,,,cnn_gru,cnn_gru,0.944,0.9442,0.94825,0.94825,0.15,0.435,0.441,0.446,0.452,0.242,0.261,0.9298,0.01425,0.0145,0.0415
electronics,home,raw,combined,,,cnn_gru,cnn_gru,0.9245,0.922,0.928,0.9265,0.15,0.417,0.426,0.431,0.441,0.232,0.2497,0.89875,0.02575,0.023,0.0525
electronics,toys,raw,combined,,,cnn_gru,cnn_gru,0.925,0.93075,0.9345,0.932,0.15,0.418,0.432,0.433,0.445,0.231,0.25,0.9075,0.0175,0.2325,0.05175
electronics,lego,raw,combined,,,cnn_gru,cnn_gru,0.921,0.927,0.9296,0.9344,0.15,0.414,0.426,0.43,0.4389,0.2298,0.2615,0.9041,0.01699,0.023,0.0558
electronics,elec,raw,combined,,,cnn_gru,cnn_gru,0.94225,0.94025,0.94525,0.94425,0.15,0.437,0.444,0.448,0.456,0.254,0.259,0.92475,0.0175,0.0155,0.04225
electronics,home,raw,pos,,,cnn_gru,cnn_gru,0.92475,0.73925,0.9145,0.922,0.15,0.4224,0.2397,0.4374,0.261,0.2379,0.1795,0.708,0.21675,0.03125,0.044
electronics,toys,raw,pos,,,cnn_gru,cnn_gru,0.93375,0.75875,0.92375,0.926,0.15,0.4251,0.2517,0.4382,0.2763,0.2406,0.1744,0.7305,0.20325,0.02825,0.038
electronics,lego,raw,pos,,,cnn_gru,cnn_gru,0.93325,0.7985,0.93567,0.93567,0.15,0.4264,0.2742,0.441,0.2938,0.2222,0.1962,0.7682,0.165,0.3033,0.0364
electronics,elec,raw,pos,,,cnn_gru,cnn_gru,0.94225,0.793,0.9365,0.94225,0.15,0.4408,0.2685,0.4521,0.2927,0.25598,0.1755,0.77,0.17225,0.023,0.03475
electronics,home,combined,pos,,,cnn_gru,cnn_gru,0.9215,0.7325,0.9105,0.9125,0.15,0.4057,0.2198,0.4216,0.2425,0.219,0.1578,0.6985,0.223,0.034,0.0445
electronics,toys,combined,pos,,,cnn_gru,cnn_gru,0.928,0.76375,0.926,0.92675,0.15,0.4068,0.226,0.422,0.2476,0.2093,0.1559,0.7255,0.2025,0.03825,0.03375
electronics,lego,combined,pos,,,cnn_gru,cnn_gru,0.9175,0.8034,0.92597,0.9284,0.15,0.401,0.2451,0.4194,0.2612,0.1964,0.1796,0.7585,0.15898,0.0449,0.0376
