,train,test,column,skipped,model,acc1,acc2,acc3,mean_acc,accuracy
0,electronics,home,raw,none,cnn,"0,895","0,906",,"0,9005",0.9005
1,electronics,lego,raw,none,cnn,"0,934","0,933",,"0,9335",0.9335
2,electronics,toys,raw,none,cnn,"0,91","0,914",,"0,912",0.912
3,electronics,electronics,raw,none,cnn,"0,92","0,927",,"0,9235",0.9235
4,combined,home,raw,none,cnn,"0,884",,,"0,884",0.884
5,combined,lego,raw,none,cnn,"0,916",,,"0,916",0.916
6,combined,toys,raw,none,cnn,"0,905",,,"0,905",0.905
7,combined,electronics,raw,none,cnn,"0,904",,,"0,904",0.904
8,electronics,home,pos,none,cnn,"0,712","0,701",,"0,7065",0.7065
9,electronics,lego,pos,none,cnn,"0,767","0,768",,"0,7675",0.7675
10,electronics,toys,pos,none,cnn,"0,725","0,735",,"0,73",0.73
11,electronics,electronics,pos,none,cnn,"0,757","0,763",,"0,76",0.76
12,combined,home,pos,none,cnn,"0,703",,,"0,703",0.703
13,combined,lego,pos,none,cnn,"0,777",,,"0,777",0.777
14,combined,toys,pos,none,cnn,"0,724",,,"0,724",0.724
15,combined,electronics,pos,none,cnn,"0,763",,,"0,763",0.763
16,electronics,home,combined,none,cnn,"0,893","0,896",,"0,8945",0.8945
17,electronics,lego,combined,none,cnn,"0,925","0,921",,"0,923",0.923
18,electronics,toys,combined,none,cnn,"0,909","0,914",,"0,9115",0.9115
19,electronics,electronics,combined,none,cnn,"0,924","0,923",,"0,9235",0.9235
20,combined,home,combined,none,cnn,"0,896",,,"0,896",0.896
21,combined,lego,combined,none,cnn,"0,928",,,"0,928",0.928
22,combined,toys,combined,none,cnn,"0,911",,,"0,911",0.911
23,combined,electronics,combined,none,cnn,"0,924",,,"0,924",0.924
24,electronics,home,raw,none,cbow,"0,864","0,851",,"0,8575",0.8575
25,electronics,lego,raw,none,cbow,"0,908","0,911",,"0,9095",0.9095
26,electronics,toys,raw,none,cbow,"0,886","0,884",,"0,885",0.885
27,electronics,electronics,raw,none,cbow,"0,903","0,901",,"0,902",0.902
28,combined,home,raw,none,cbow,"0,863",,,"0,863",0.863
29,combined,lego,raw,none,cbow,"0,913",,,"0,913",0.913
30,combined,toys,raw,none,cbow,"0,884",,,"0,884",0.884
31,combined,electronics,raw,none,cbow,"0,903",,,"0,903",0.903
32,electronics,home,pos,none,cbow,"0,655","0,652",,"0,6535",0.6535
33,electronics,lego,pos,none,cbow,"0,787","0,792",,"0,7895",0.7895
34,electronics,toys,pos,none,cbow,"0,705","0,703",,"0,704",0.704
35,electronics,electronics,pos,none,cbow,"0,715","0,709",,"0,712",0.712
36,combined,home,pos,none,cbow,"0,641",,,"0,641",0.641
37,combined,lego,pos,none,cbow,"0,768",,,"0,768",0.768
38,combined,toys,pos,none,cbow,"0,687",,,"0,687",0.687
39,combined,electronics,pos,none,cbow,"0,695",,,"0,695",0.695
40,electronics,home,combined,none,cbow,"0,862","0,856",,"0,859",0.859
41,electronics,lego,combined,none,cbow,"0,898","0,904",,"0,901",0.901
42,electronics,toys,combined,none,cbow,"0,884","0,882",,"0,883",0.883
