Date,Coronavirus Seach Volume (Indexed),Symptoms Seach Volume (Indexed),Coronavirus News Search (Indexed Seperately),News Articles Published,Unique News Outlets,Avg Articles per News Outlet,New Cases (World),New Deaths (World),Infections (Global),Death Toll (Global),Recovered (Global),Daily New Infections (Global),Daily New Deaths (Global),Daily New Recoveries (Global),DJI Change,NASDAQ Change,S&P Change
1/5/20,0.1,3,0,34,31,1.1,15,0,,,,,,,,,
1/6/20,0.1,3,0,96,89,1.1,0,0,,,,,,,0,0,0
1/7/20,0.1,3,0,45,43,1.0,0,0,,,,,,,-119.7,-2.89,-9.1
1/8/20,0.1,3,0,308,245,1.3,0,0,,,,,,,161.41,60.66,15.87
1/9/20,0.1,3,0.1,679,535,1.3,0,0,,,,,,,211.81,74.19,21.65
1/10/20,0.1,3,0.1,503,425,1.2,0,0,,,,,,,-133.13,-24.57,-9.35
1/11/20,0.1,3,0.1,392,316,1.2,0,1,,,,,,,83.28,95.07,22.78
1/12/20,0.1,3,0.1,160,116,1.4,0,0,,,,,,,0,0,0
1/13/20,0.1,3,0,491,375,1.3,1,0,,,,,,,0,0,0
1/14/20,0.1,3,0.1,355,240,1.5,0,0,,,,,,,32.62,-22.6,-4.98
1/15/20,0.1,3,0,557,395,1.4,1,1,,,,,,,90.55,7.37,6.14
1/16/20,0.1,3,0.1,1116,648,1.7,0,0,,,,,,,267.42,98.43,27.52
1/17/20,0.1,3,0.1,1747,1005,1.7,5,0,,,,,,,50.46,31.81,12.81
1/18/20,0.1,3,0.1,1159,779,1.5,17,0,,,,,,,-152.06,-18.13,-8.83
1/19/20,0.1,3,0.1,1350,832,1.6,136,1,,,,,,,0,0,0
1/20/20,1,3,1,3885,1647,2.4,20,0,,,,,,,0,0,0
1/21/20,2,3,1,10447,2862,3.7,153,3,,,,,,,0,0,0
1/22/20,4,3,4,14158,3127,4.5,142,11,555,17,28,,,,-9.77,12.96,0.96
1/23/20,6,3,7,17253,3496,4.9,97,0,654,18,30,99,1,2,-26.18,18.71,3.79
1/24/20,9,4,10,18422,3878,4.8,266,9,941,26,36,287,8,6,-170.36,-87.57,-30.07
1/25/20,11,4,15,10381,2561,4.1,453,15,1434,42,39,493,16,3,-453.93,-175.6,-51.84
1/26/20,13,4,16,12598,2947,4.3,673,15,2118,56,52,684,14,13,0,0,0
1/27/20,13,5,19,21762,4497,4.8,797,25,"2,927",82,61,809,26,9,0,0,0
1/28/20,16,5,23,26582,4936,5.4,1767,25,"5,578",131,107,2651,49,46,187.05,130.37,32.61
1/29/20,16,5,24,28748,5229,5.5,1480,26,"6,166",133,126,588,2,19,11.6,5.48,-2.84
1/30/20,18,5,27,34210,5605,6.1,1756,38,"8,234",171,143,2068,38,17,124.99,23.77,10.26
1/31/20,18,5,28,31925,5468,5.8,2003,43,"9,927",213,222,1693,42,79,-603.41,-147.99,-58.14
2/1/20,14,4,26,15833,3266,4.8,2120,46,"12,038",259,284,2111,46,62,143.78,122.46,23.4
2/2/20,11,4,21,17267,3534,4.9,2608,46,"16,787",362,472,4749,103,188,0,0,0
2/3/20,10,4,21,28135,5220,5.4,2818,57,"19,881",426,623,3094,64,151,0,0,0
2/4/20,9,4,17,29730,5267,5.6,3243,65,"23,892",492,852,4011,66,229,407.82,194.57,48.67
2/5/20,8,4,17,28534,5227,5.5,3907,66,"27,635",564,"1,124",3743,72,272,483.22,40.71,37.1
2/6/20,8,4,17,27908,5268,5.3,3751,72,"30,794",634,"1,487",3159,70,363,88.92,63.47,11.09
2/7/20,9,4,19,27002,5064,5.3,3218,73,"34,391",719,"2,011",3597,85,524,-277.26,-51.64,-18.07
2/8/20,8,3,17,13600,3150,4.3,3442,86,"37,120",806,"2,616",2729,87,605,174.31,107.88,24.38
2/9/20,8,3,14,13653,3030,4.5,2619,89,"40,150",906,"3,244",3030,100,628,0,0,0
2/10/20,7,4,16,27251,"5,041",5.4,2988,97,"42,762","1,013","3,946",2612,107,702,0,0,0
2/11/20,7,3,14,29072,"5,397",5.4,2565,108,"44,802","1,113","4,683",2040,100,737,-0.48,10.55,5.66
2/12/20,7,3,13,29059,"5,352",5.4,2072,97,"45,221","1,118","5,150",419,5,467,275.08,87.02,21.7
2/13/20,8,3,17,31899,"5,629",5.7,15151,255,"60,368","1,371","6,295",15147,253,1145,-128.11,-13.99,-5.51
2/14/20,7,3,13,27034,"5,080",5.3,4215,13,"66,885","1,523","8,058",6517,152,1763,-25.23,19.21,6.22
2/15/20,6,3,13,14336,"3,124",4.6,2560,144,"69,030","1,666","9,395",2145,143,1337,-165.89,1.56,-9.87
2/16/20,6,3,11,14828,"3,281",4.5,2162,142,"71,224","1,770","10,865",2194,104,1470,0,0,0
2/17/20,6,3,13,24856,"5,075",4.9,2067,106,"73,258","1,868","12,583",2034,98,1718,0,0,0
2/18/20,5,3,11,29202,"5,362",5.4,1995,98,"75,136","2,007","14,352",1878,139,1769,0,0,0
2/19/20,5,3,9,25290,"5,238",4.8,1864,139,"75,639","2,122","16,121",503,115,1769,115.84,84.44,15.86
2/20/20,5,3,10,23958,"4,757",5.0,532,116,"76,197","2,247","18,177",558,125,2056,-128.05,-66.21,-12.92
2/21/20,8,3,16,25881,"4,820",5.4,996,119,"76,819","2,251","18,890",622,4,713,-227.57,-174.38,-35.48
2/22/20,12,4,25,15301,"3,194",4.8,1085,112,"78,572","2,458","22,886","1,753",207,3996,-1031.61,-355.31,-111.86
2/23/20,18,4,34,18601,"3,549",5.2,1008,104,"78,958","2,469","23,394",386,11,508,0,0,0
2/24/20,21,4,38,39113,"6,123",6.4,527,156,"79,561","2,629","25,227",603,160,1833,0,0,0
2/25/20,25,5,42,46585,"6,707",6.9,793,79,"80,406","2,708","27,905",845,79,2678,-879.44,-255.67,-97.68
2/26/20,29,5,49,55566,"7,472",7.4,863,64,"81,388","2,770","30,384",982,62,2479,-123.77,15.17,-11.82
2/27/20,29,5,47,64047,"8,269",7.7,1106,38,"82,746","2,814","33,277","1,358",44,2893,-1190.95,-414.3,-137.63
2/28/20,30,5,50,75138,"8,731",8.6,1264,57,"84,112","2,872","36,711","1,366",58,3434,-357.28,0.89,-24.54
2/29/20,27,5,51,39725,"5,454",7.3,1838,64,"86,011","2,941","39,782","1,899",69,3071,1293.96,384.8,136.01
